sku,warehouse,quantity,status
HS-9912,Warehouse A (Requesting Site),10,active
HS-9912,Warehouse B (Sister Site),350,excess/project-canceled
LC-2201,Warehouse A (Requesting Site),4,active
LC-2201,Warehouse C (Regional Hub),40,active
LT-3305,Warehouse A (Requesting Site),2,active
LT-3305,Warehouse B (Sister Site),0,active
OC-4110,Warehouse A (Requesting Site),1,active
OC-4110,Warehouse C (Regional Hub),15,excess/project-canceled
PT-5020,Warehouse A (Requesting Site),20,active
IG-6015,Warehouse A (Requesting Site),0,active
IG-6015,Warehouse B (Sister Site),200,active
SF-6231,Warehouse A (Requesting Site),5,active
MB-7040,Warehouse A (Requesting Site),12,active
KB-7041,Warehouse A (Requesting Site),8,active
WD-8110,Warehouse A (Requesting Site),3,active
FB-8220,Warehouse A (Requesting Site),6,active
DS-9001,Warehouse A (Requesting Site),0,active
DS-9001,Warehouse C (Regional Hub),9,excess/project-canceled
